序号,求职者id,姓名,期望岗位,性别,年龄,居住地址,工作经验,自我评价,期望薪资低,期望薪资高,工作性质,期望行业,工作地区,到岗时间,简历关键词,学历,学科专业,学历数值,工作经验数值,自我评价-分词
178,1467793483321442304,周先生,"[""数据分析师"",""自然语言处理工程师"",""数据挖掘工程师""]",0.0,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,我待人友好，具有良好的人际交往和沟通能力，有团队意识，工作认真负责。熟悉 Python、SPSS 等数据分析的软件，有过数据分析与数据挖掘的项目经历，打下了良好的数据分析基础。能够熟练使用 Office 等日常办公软件，对数据处理、文档编辑等也有着一定的基础。,6000,10000,1,"[""不限"",""互联网""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],无,无,0,0,"['待人', '友好', '具有', '良好', '人际交往', '沟通', '能力', '团队', '意识', '工作', '认真负责', '熟悉', ' ', 'Python', 'SPSS', ' ', '数据分析', '软件', '有过', '数据分析', '数据挖掘', '项目', '经历', '打下', '良好', '数据分析', '基础', '能够', '熟练', '使用', ' ', 'Office', ' ', '日常', '办公', '软件', '数据处理', '文档', '编辑', '有着', '一定', '基础']"
179,1470309657343033344,萧先生,"[""其他"",""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,"1.思路清晰，有独立分析解决问题的能力；
2.工作认真、负责，乐于沟通，乐于互助，乐于学习，勇于创新，乐于分享，性格开朗；
3.具备良好的学习、沟通和团队协作能力；
",6000,7000,1,"[""互联网""]","[""广东省"",""东莞市"",""东莞""]",时间待议,[],无,无,0,0,"['1', '思路清晰', '独立', '分析', '解决问题', '能力', '无', '2', '工作', '认真', '负责', '乐于', '沟通', '乐于', '互助', '乐于', '学习', '勇于创新', '乐于', '分享', '性格开朗', '无', '3', '具备', '良好', '学习', '沟通', '团队', '协作', '能力', '无']"
180,1470309366568714240,杨女士,"[""Hadoop大数据开发工程师""]",1.0,23,"[""广东省"",""广州市"",""黄埔区""]",无经验,"了解大数据开发的框架以及多种编程语言；
有良好的学习能力和沟通能力",8000,10000,1,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['大数据开发', '数据分析']",本科 ,数据科学与大数据计数 ,3,0,"['了解', '大', '数据', '开发', '框架', '多种', '编程语言', '无', '良好', '学习', '能力', '沟通', '能力']"
181,1470308331594842112,杨女士,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",1.0,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,本人具有良好的语言表达沟通能力对工作认真细心用心、有良好的职业道德和职业操守。抗压能力强，有较强的责任心，工作风格严谨、积极，注重细节，具有良好的团队合作精神。,5000,8000,0,[],"[""广东省"",""广州市"",""黄埔区""]",随时到岗,[],无,无,0,0,"['本人', '具有', '良好', '语言表达', '沟通', '能力', '工作', '认真', '细心', '用心', '良好', '职业道德', '职业', '操守', '抗压', '能力', '强', '强', '责任心', '工作', '风格', '严谨', '积极', '注重', '细节', '具有', '良好', '团队', '合作', '精神']"
182,1469170123129618432,李女士,"[""数据分析师"",""数据挖掘工程师""]",1.0,25,"[""广东省"",""惠州市"",""惠东县""]",无经验,拥有良好的沟通、协调以及抗压能力，善于应变，能够快速适应新环境，熟悉使用办公软件，主动学习。珍惜每一次学习的机会，有较好的自学能力和自我管理能力，专业水平扎实，成绩优异,6000,8000,1,"[""互联网""]","[""广东省"",""广州市"",""黄埔区""]",1周后到岗,[],本科 ,统计学 ,3,0,"['拥有', '良好', '沟通', '协调', '抗压', '能力', '善于', '应变', '能够', '快速', '适应', '新', '环境', '熟悉', '使用', '办公', '软件', '主动', '学习', '珍惜', '一次', '学习', '机会', '好', '自学能力', '自我管理', '能力', '专业', '水平', '扎实', '成绩', '优异']"
183,1469243148147490816,钟女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",1.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,工作细致，认真负责。,3000,7000,0,"[""不限"",""互联网"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,统计学 ,3,0,"['工作', '细致', '认真负责']"
184,1470307323162525696,许先生,"[""数据分析师""]",0.0,26,"[""广东省"",""广州市"",""天河区""]",无经验,具有强烈的探索精神，善于学习新知识和新技术，以适应工作需求。善于团队协作和独立自主的合理分配，把握积极沟通和创新创意的有机结合,6000,7000,5,[],"[""广东省"",""广州市"",""黄埔区""]",无,[],无,无,0,0,"['具有', '强烈', '探索', '精神', '善于', '学习', '新', '知识', '新', '技术', '适应', '工作', '需求', '善于', '团队', '协作', '独立自主', '合理', '分配', '把握', '积极', '沟通', '创新', '创意', '有机', '结合']"
185,1470284037246550016,许先生,"[""其他""]",0.0,24,"[""广东省"",""韶关市"",""乳源瑶族自治县""]",无经验,无,6000,11000,1,"[""不限""]","[""陕西省"",""西安市"",""雁塔区""]",随时到岗,[],无,无,0,0,['无']
186,1470269990006554624,戴先生,"[""Hadoop大数据开发工程师"",""数据分析师"",""数据挖掘工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,本人热爱学习、看书，喜欢跑步、足球等运动，这使我拥有了健康的体魄以及积极向上的心态；在学习上，信息与计算科学专业使我的专业知识有了很好的储备；在实际社会工作方面，我还缺乏经验和锻炼，所以希望能够有机会进入一个体制规范、工作氛围好的公司平台，愿意从基层做起，积累经验，实现自己的职业规划及个人目标。,8000,10000,1,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],无,无,0,0,"['本人', '热爱', '学习', '看书', '喜欢', '跑步', '足球', '运动', '这使', '拥有', '健康', '体魄', '积极向上', '心态', '学习', '上', '信息', '计算', '科学', '专业', '使', '专业知识', '很', '好', '储备', '实际', '社会工作', '方面', '还', '缺乏经验', '锻炼', '希望', '能够', '机会', '进入', '体制', '规范', '工作', '氛围', '好', '公司', '平台', '愿意', '基层', '做起', '积累', '经验', '实现', '职业规划', '个人', '目标']"
187,1470244930722070528,凌先生,"[""Hadoop大数据开发工程师""]",0.0,25,"[""广东省"",""广州市"",""天河区""]",无经验,本人积极乐观，爱岗敬业，吃苦耐劳，认真对待工作上的事情，做事仔细，对每一次的学习机会都很珍惜，有较好的自我学习能力和自我管理能力。目前通过培训学习，对大数据开发技术有一定理解，能够独立面对开发上的一些问题，并且积极面对困难。,3000,4000,0,"[""互联网"",""数据服务"",""金融""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,[],本科 ,数据科学与大数据技术 ,3,0,"['本人', '积极', '乐观', '爱岗敬业', '吃苦耐劳', '认真对待', '工作', '上', '事情', '做事', '仔细', '一次', '学习', '机会', '都', '很', '珍惜', '好', '自我', '学习', '能力', '自我管理', '能力', '目前', '通过培训', '学习', '对大', '数据', '开发技术', '一定', '理解', '能够', '独立', '面对', '开发', '上', '问题', '积极', '面对', '困难']"
188,1470235062837575680,吴先生,"[""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,"1.了解hadoop生态圈，能够操作hadoop生态圈各个产品。
2.了解spark和scala语言。
3.学习能力较强。善于接受新技术。
4.工作认真负责，为人踏实苦干，具有团结精神。",4000,6000,0,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,['大数据开发'],本科 ,信息与计算科学 ,3,0,"['1', '了解', 'hadoop', '生态圈', '能够', '操作', 'hadoop', '生态圈', '产品', '无', '2', '了解', 'spark', 'scala', '语言', '无', '3', '学习', '能力', '较强', '善于', '接受', '新', '技术', '无', '4', '工作', '认真负责', '人', '踏实', '苦干', '具有', '团结', '精神']"
189,1470201784822792192,郑先生,"[""Hadoop大数据开发工程师""]",0.0,23,"[""广东省"",""广州市"",""黄埔区""]",无经验,本人性格开朗、稳重、有活力，待人热情、真诚。工作认真负责，积极主动，能吃苦耐劳。自信心强。思想活跃。有较强的组织能力、实践动手能力和团队协作精神，能迅速的适应各种环境，并融于其中。,3000,4000,1,"[""互联网""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,[],无,无,0,0,"['本人', '性格开朗', '稳重', '活力', '待人', '热情', '真诚', '工作', '认真负责', '积极主动', '吃苦耐劳', '自信心', '强', '思想活跃', '强', '组织', '能力', '实践', '动手', '能力', '团队', '协作', '精神', '迅速', '适应', '环境', '融于']"
190,1470189224509702144,刘女士,"[""Hadoop大数据开发工程师""]",1.0,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,学习能力强，富有学习精神，自我调节能力较好,8000,9000,1,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],无,无,0,0,"['学习', '能力', '强', '富有', '学习', '精神', '自我调节', '能力', '好']"
191,1470040884308475904,梁女士,"[""数据分析师""]",1.0,23,"[""广东省"",""广州市"",""天河区""]",无经验,使用python做过相关数据分析的案例，掌握MySQL数据库的运用。,6000,8000,1,[],"[""广东省"",""广州市"",""天河区""]",时间待议,[],无,无,0,0,"['使用', 'python', '做过', '相关', '数据分析', '案例', '掌握', 'MySQL', '数据库', '运用']"
192,1470021059326640128,唐女士,"[""Hadoop大数据开发工程师""]",1.0,23,"[""广东省"",""广州市"",""黄埔区""]",无经验,具有团队合作精神和沟通能力，乐于学习专业知识且就具有吃苦能力，能够抗压。,7000,9000,0,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,[],本科 ,数据科学与大数据技术 ,3,0,"['具有', '团队', '合作', '精神', '沟通', '能力', '乐于', '学习', '专业知识', '具有', '吃苦', '能力', '能够', '抗压']"
193,1469952429427654656,连先生,"[""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,熟悉Java基础知识和Scala基础知识；了解Hadoop的基础架构；熟悉Spark编程；在Hive、MySQL等数据库中能使用SQL语句对数据表做基本的增删改查；熟悉分布式发布订阅消息系统Kafka、数据采集系统Flume；熟悉大数据实时处理技术Spark Streaming、Flink。,4000,8000,0,"[""互联网"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,数据科学与大数据技术 ,3,0,"['熟悉', 'Java', '基础知识', 'Scala', '基础知识', '了解', 'Hadoop', '基础架构', '熟悉', 'Spark', '编程', 'Hive', 'MySQL', '数据库', '中', '使用', 'SQL', '语句', '数据表', '做', '基本', '增删', '改查', '熟悉', '分布式', '发布', '订阅', '消息', '系统', 'Kafka', '数据', '采集', '系统', 'Flume', '熟悉', '大', '数据', '实时处理', '技术', 'Spark', ' ', 'Streaming', 'Flink']"
194,1469967882053091328,彭先生,"[""Hadoop大数据开发工程师""]",0.0,23,"[""广东省"",""广州市"",""天河区""]",无经验,了解Hadoop、Spark集群；了解Java、scala语言。勤奋好学，踏实肯干，性格开朗，乐观活泼，抗压能力好，拥有积极向上的人生观，有责任心，团队荣誉感强。,8000,12000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['大数据', 'Spark', 'Hadoop', '大数据开发']",本科 ,数据科学与大数据技术 ,3,0,"['了解', 'Hadoop', 'Spark', '集群', '了解', 'Java', 'scala', '语言', '勤奋好学', '踏实', '肯干', '性格开朗', '乐观', '活泼', '抗压', '能力', '好', '拥有', '积极向上', '人生观', '责任心', '团队', '荣誉感', '强']"
195,1469936306212700160,吴女士,"[""Hadoop大数据开发工程师"",""数据分析师""]",1.0,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,"学习能力：本科期间，保持成绩在同年级同专业前5名的同时，积极参加一些竞赛并获得奖项。
抗压能力强：在大四学业和参加竞赛发生冲突的情况下，合理安排时间，保证两边事情都能近乎圆满解决。
积极乐观：生活中和学习中都会遇到困难，我都会积极面对和努力寻找突破口。",8000,10000,1,"[""互联网""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,['大数据开发工程师'],无,无,0,0,"['学习', '能力', '本科', '期间', '保持', '成绩', '同年级', '专业', '前', '5', '名', '积极', '参加', '竞赛', '获得', '奖项', '无', '抗压', '能力', '强', '大四', '学业', '参加', '竞赛', '发生冲突', '情况', '下', '合理安排', '时间', '保证', '两边', '事情', '都', '近乎', '圆满解决', '无', '积极', '乐观', '生活', '中', '学习', '中', '都', '会', '遇到困难', '都', '会', '积极', '面对', '努力', '寻找', '突破口']"
196,1469932581750439936,谭先生,"[""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,一无所长,3000,5000,1,"[""互联网"",""计算机软件"",""金融""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],无,无,0,0,['一无所长']
197,1469885228783894528,周女士,"[""数据分析师""]",1.0,23,"[""广东省"",""广州市"",""天河区""]",无经验,"本人性格动静皆可，待人热情真诚；在校曾担任过宣传部部长，具有一定的文章编辑和摄影能力、活动组织能力及协调沟通能力；
无论是对待工作还是学习都持认真负责，刻苦耐劳的态度，在校多次获得奖学金；在专业技能上能够运用SQL、R、Python等软件对数据进行收集、清洗、分析展现、数据挖掘，并建立相关统计模型。",6000,8000,1,"[""互联网"",""数据服务"",""O2O""]","[""广东省"",""广州市"",""黄埔区""]",1周后到岗,['数据分析'],本科 ,统计学 ,3,0,"['本人', '性格', '动静', '皆', '待人', '热情', '真诚', '在校', '曾', '担任', '宣传部', '部长', '具有', '一定', '文章', '编辑', '摄影', '能力', '活动', '组织', '能力', '协调', '沟通', '能力', '无', '无论是', '对待', '工作', '学习', '都持', '认真负责', '刻苦耐劳', '态度', '在校', '多次', '获得', '奖学金', '专业技能', '上', '能够', '运用', 'SQL', 'R', 'Python', '软件', '数据', '进行', '收集', '清洗', '分析', '展现', '数据挖掘', '建立', '相关', '统计', '模型']"
198,1469191201306574848,王女士,"[""数据分析师"",""机器学习工程师"",""Hadoop大数据开发工程师""]",1.0,25,"[""广东省"",""广州市"",""黄埔区""]",无经验,"1.掌握Python基础知识，能用Python对数据进行预处理，可视化等。
2.熟悉SQL基本操作，用SQL语言查询数据。
3.会用office办公软件进行一些基本操作。
4.在校学习过数学分析，概率论与数理统计，多元统计分析，深度学习，hadoop大数据开发技术等相关课程。



",3000,6000,1,"[""互联网"",""数据服务"",""信息安全""]","[""广东省"",""深圳市"",""宝安区""]",1个月后到岗,[],本科 ,统计学 ,3,0,"['1', '掌握', 'Python', '基础知识', '能用', 'Python', '数据', '进行', '预处理', '可视化', '无', '2', '熟悉', 'SQL', '基本操作', 'SQL', '语言', '查询', '数据', '无', '3', '会用', 'office', '办公', '软件', '进行', '基本操作', '无', '4', '在校', '学习', '数学分析', '概率论', '数理统计', '多元', '统计分析', '深度', '学习', 'hadoop', '大', '数据', '开发技术', '相关', '课程', '无', '无', '无', '无']"
199,1469873694439505920,王先生,"[""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,责任心强，有团队合作精神，具有较强的学习能力，懂得吃苦耐劳,6000,10000,1,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",无,[],本科 ,信息与计算科学 ,3,0,"['责任心', '强', '团队', '合作', '精神', '具有', '较强', '学习', '能力', '懂得', '吃苦耐劳']"
200,1469233133072285696,李先生,"[""数据分析师"",""其他""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,本人在校参加过羽毛球社，担任过副班长，参加过各类与专业相关的竞赛并获奖，具有较强的学习、适应环境能力和资源调配能力，能胜任重复性的工作且听从安排,3000,4000,0,"[""互联网"",""在线教育"",""游戏""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,"['互联网', '数据分析', '教师']",本科 ,信息与计算科学 ,3,0,"['本人', '在校', '参加', '羽毛球', '社', '担任', '副班长', '参加', '各类', '专业', '相关', '竞赛', '获奖', '具有', '较强', '学习', '适应环境', '能力', '资源', '调配', '能力', '胜任', '重复性', '工作', '听从', '安排']"
201,1469245596702474240,李女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",1.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,"1、本人积极乐观，珍惜每一次学习的机会，有较好的自学能力和自我管理能力
2、专业水平扎实，成绩优异，多次担任班干部，团结意识以及领导能力较强
3、抗压能力较强，团队合作意识强，能吃苦，对生活充满热情。
4、做事认真，严谨，思维灵活，能承受较大的工作压力
",3000,6000,1,"[""互联网"",""媒体""]","[""广东省"",""广州市"",""天河区""]",2周后到岗,[],无,无,0,0,"['1', '本人', '积极', '乐观', '珍惜', '一次', '学习', '机会', '好', '自学能力', '自我管理', '能力', '无', '2', '专业', '水平', '扎实', '成绩', '优异', '多次', '担任', '班干部', '团结', '意识', '领导', '能力', '较强', '无', '3', '抗压', '能力', '较强', '团队', '合作', '意识', '强', '吃苦', '生活', '充满热情', '无', '4', '做事', '认真', '严谨', '思维', '灵活', '承受', '较大', '工作', '压力', '无']"
202,1469242106395623424,陈先生,"[""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,"为人诚恳，待人真诚，具有良好的团队合作精神和沟通组织能力，工作认真、踏实、积极上进。自学能力强，思维
敏捷，对于新知识接受快，勇于面对困难，敢于挑战。",3000,5000,1,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,[],本科 ,信息与计算科学 ,3,0,"['人', '诚恳', '待人', '真诚', '具有', '良好', '团队', '合作', '精神', '沟通', '组织', '能力', '工作', '认真', '踏实', '积极', '上', '进', '自学能力', '强', '思维', '无', '敏捷', '新', '知识', '接受', '快', '勇于', '面对', '困难', '敢于', '挑战']"
203,1469243330142535680,张女士,"[""Hadoop大数据开发工程师""]",1.0,23,"[""广东省"",""汕头市"",""潮阳区""]",无经验,"• 大四大数据在读，能根据实际情况切换不同语言以及开发模式，达到最优的实现效率
• 本人有较好的自学能力和自制力，善于领悟、接受新事物和新技术",8000,10000,1,"[""金融"",""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,数据科学与大数据技术 ,3,0,"['•', ' ', '大', '四大', '数据', '在读', '实际', '情况', '切换', '不同', '语言', '开发', '模式', '达到', '最优', '实现', '效率', '无', '•', ' ', '本人', '好', '自学能力', '自制力', '善于', '领悟', '接受', '新', '事物', '新', '技术']"
204,1469242387086835712,李女士,"[""数据分析师""]",1.0,23,"[""广东省"",""广州市"",""天河区""]",无经验,"乐观开朗，吃苦耐劳
",3000,4000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,['数据分析师'],无,无,0,0,"['乐观', '开朗', '吃苦耐劳', '无']"
205,1469241606338117632,刘女士,"[""数据分析师""]",1.0,24,"[""广东省"",""广州市"",""增城区""]",无经验,本人活泼开朗，在校期间有1年心理健康实践部干事经历和1年助梦协会干事经历，曾多次参加策划组织部门活动，具备较强组织能力和适应能力，有团队精神，能快速融入新团队，担任大三、大四学年班级团支书，曾带领班级团支部荣获“优秀团支部”称号，在工作中得到领导认同，抗压能力较强，亲和力较好，能与同事友好相处。,3000,5000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['数据分析', 'python', 'MySQL']",本科 ,统计学 ,3,0,"['本人', '活泼开朗', '在校', '期间', '1', '年', '心理健康', '实践', '部', '干事', '经历', '1', '年助', '梦', '协会', '干事', '经历', '曾多次', '参加', '策划', '组织部门', '活动', '具备', '较强', '组织', '能力', '适应能力', '团队精神', '快速', '融入', '新', '团队', '担任', '大三', '大四', '学年', '班级', '团支书', '曾', '带领', '班级', '团支部', '荣获', '优秀', '团支部', '称号', '工作', '中', '得到', '领导', '认同', '抗压', '能力', '较强', '亲和力', '好', '同事', '友好相处']"
206,1466338525766090752,骆先生,"[""Hadoop大数据开发工程师""]",0.0,23,"[""广东省"",""广州市"",""黄埔区""]",无经验,掌握Java/Linux/Hadoop等开源大数据开发技术及组件的运用，了解深度学习（pytorch）、自然语言处理（NLP）、 机器学习等算法。个人积极阳光，认真负责，富有耐心和毅力，热爱运动，身体健康状态良好，具有较强的团队精神和协作能力。,5000,6000,0,[],"[""广东省"",""广州市"",""天河区""]",时间待议,[],无,无,0,0,"['掌握', 'Java', 'Linux', 'Hadoop', '开源', '大', '数据', '开发技术', '组件', '运用', '了解', '深度', '学习', 'pytorch', '自然语言', '处理', 'NLP', ' ', '机器', '学习', '算法', '个人', '积极', '阳光', '认真负责', '富有', '耐心', '毅力', '热爱', '运动', '身体健康', '状态', '良好', '具有', '较强', '团队精神', '协作', '能力']"
207,1469186255756591104,林先生,"[""Hadoop大数据开发工程师""]",0.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,无,7000,10000,1,[],"[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,信息与计算科学 ,3,0,['无']
208,1469172841671950336,黄女士,"[""数据分析师"",""机器学习工程师""]",1.0,23,"[""广东省"",""佛山市"",""南海区""]",无经验,"性格开朗、积极乐观；在校期间曾为一所小学进行义教，有较好的耐心；曾在学院的班际辩论赛中多次担任计时工作（包括
决赛）有很好的注意力和十分的细心；
工作认真，细心负责，熟练运用Office软件；勤奋好学，踏实肯干，坚持不懈，吃苦耐劳，喜欢迎接新挑战。
",5000,8000,1,[],"[""广东省"",""广州市"",""黄埔区""]",无,[],本科 ,统计学 ,3,0,"['性格开朗', '积极', '乐观', '在校', '期间', '曾', '一所', '小学', '进行', '义教', '好', '耐心', '曾', '学院', '班际', '辩论赛', '中', '多次', '担任', '计时', '工作', '包括', '无', '决赛', '很', '好', '注意力', '十分', '细心', '无', '工作', '认真', '细心', '负责', '熟练', '运用', 'Office', '软件', '勤奋好学', '踏实', '肯干', '坚持不懈', '吃苦耐劳', '喜欢', '迎接', '新', '挑战', '无']"
209,1469173217963933696,林女士,"[""数据分析师""]",1.0,24,"[""广东省"",""揭阳市"",""榕城区""]",无经验,熟悉运用python编程，R语言，MySQL。掌握office系列办公软件，如Word、Excel、PPT。大学期间在，曾多次在微信公众号发表过推文。学习过Hadoop。可以使用PS软件进行图片的简单修改和美化。未来的工作中，我将以充沛的精神来努力工作，稳定的提高自己的工作能力。,4000,5000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],无,无,0,0,"['熟悉', '运用', 'python', '编程', 'R', '语言', 'MySQL', '掌握', 'office', '系列', '办公', '软件', 'Word', 'Excel', 'PPT', '大学', '期间', '曾多次', '微信', '公众', '号', '发表', '推文', '学习', 'Hadoop', '使用', 'PS', '软件', '进行', '图片', '简单', '修改', '美化', '未来', '工作', '中', '充沛', '精神', '努力', '工作', '稳定', '提高', '工作', '能力']"
210,1468779175124008960,黄女士,"[""Hadoop大数据开发工程师""]",1.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,耐心，接受新事物能力较强，好沟通，不是很聪明，但肯下苦工夫,4000,6000,1,"[""不限""]","[""广东省"",""深圳市"",""龙岗区""]",1个月后到岗,['大数据开发'],本科 ,信息与计算科学 ,3,0,"['耐心', '接受', '新', '事物', '能力', '较强', '好', '沟通', '不是', '很', '聪明', '但肯', '下苦', '工夫']"
211,1468155960865456128,肖女士,"[""数据分析师"",""自然语言处理工程师""]",1.0,24,"[""广东省"",""广州市"",""天河区""]",无经验,善于思考与总结，能尽快适应工作环境和工作内容，具备较好的职业操守，熟练使用数据分析软件,6000,9000,1,"[""互联网"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",1个月后到岗,[],本科 ,信息与计算科学 ,3,0,"['善于', '思考', '总结', '尽快', '适应', '工作', '环境', '工作', '内容', '具备', '好', '职业', '操守', '熟练', '使用', '数据分析', '软件']"
212,1468125952079953920,郑先生,"[""Hadoop大数据开发工程师""]",0.0,25,"[""广东省"",""广州市"",""天河区""]",无经验,"1、具有较强的学习能力，认真刻苦，勤奋务实。
2、工作责任心强，具有一定的团队合作能力。
3、亲和力强，有耐心、沟通能力强，能很好地处理突发情况，应变能力强。
4、乐观开朗，善于与人沟通，工作主动积极，服务意识很强",8000,10000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,信息与计算科学 ,3,0,"['1', '具有', '较强', '学习', '能力', '认真', '刻苦', '勤奋', '务实', '无', '2', '工作', '责任心', '强', '具有', '一定', '团队', '合作', '能力', '无', '3', '亲和力', '强', '耐心', '沟通', '能力', '强', '很', '好', '处理', '突发', '情况', '应变能力', '强', '无', '4', '乐观', '开朗', '善于', '人', '沟通', '工作', '主动', '积极', '服务', '意识', '很强']"
213,1462947443971850240,许女士,"[""数据分析师""]",1.0,24,"[""广东省"",""广州市"",""黄埔区""]",无经验,"1. 熟练掌握 Python 的基本操作，有良好的编程风格；
2. 能够熟练使用 SQL 语句对数据进行处理；
3. 熟悉使用 MySQL 数据库；
4. 学习过 Linux 操作系统基础，Python 语言基础，数据库原理与应用，数据结构与算法分析，深度学习，大数据技术原理与应用等相关课程。",7000,12000,0,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],无,无,0,0,"['1', ' ', '熟练掌握', ' ', 'Python', ' ', '基本操作', '良好', '编程', '风格', '无', '2', ' ', '能够', '熟练', '使用', ' ', 'SQL', ' ', '语句', '数据', '进行', '处理', '无', '3', ' ', '熟悉', '使用', ' ', 'MySQL', ' ', '数据库', '无', '4', ' ', '学习', ' ', 'Linux', ' ', '操作系统', '基础', 'Python', ' ', '语言', '基础', '数据库', '原理', '应用', '数据结构', '算法', '分析', '深度', '学习', '大', '数据', '技术', '原理', '应用', '相关', '课程']"
214,1467792220823355392,谭女士,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",1.0,23,"[""广东省"",""广州市"",""天河区""]",无经验,我大学主修统计学专业，有一定的数学理论基础，能熟练使用计算机语言如R语言，JAVA，python等。性格良好，积极上进，努力诚恳，为人踏实，擅长学习探索新事物，思维活跃，逻辑紧密，工作严谨细心，责任心强。,5000,9000,1,"[""互联网"",""不限""]","[""广东省"",""广州市"",""天河区""]",2周后到岗,[],无,无,0,0,"['大学', '主修', '统计学', '专业', '一定', '数学', '理论', '基础', '熟练', '使用', '计算机', '语言', 'R', '语言', 'JAVA', 'python', '性格', '良好', '积极', '上', '进', '努力', '诚恳', '人', '踏实', '擅长', '学习', '探索', '新', '事物', '思维', '活跃', '逻辑', '紧密', '工作', '严谨', '细心', '责任心', '强']"
215,1467788207168028672,陈女士,"[""数据分析师"",""数据挖掘工程师""]",1.0,23,"[""广东省"",""广州市"",""黄埔区""]",无经验,"有较好的统计思维，能使用python进行数据清洗，数据可视化等数据分析能力；
了解mysql查询语句。",6000,8000,1,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",2周后到岗,"['python', 'mysql', '数据分析']",无,无,0,0,"['好', '统计', '思维', '使用', 'python', '进行', '数据', '清洗', '数据', '可视化', '数据分析', '能力', '无', '了解', 'mysql', '查询', '语句']"
216,1467791521221836800,黄女士,"[""数据分析师""]",1.0,23,"[""广东省"",""广州市"",""荔湾区""]",无经验,耐心,3000,5000,1,"[""不限""]","[""广东省"",""广州市"",""荔湾区""]",随时到岗,[],无,无,0,0,['耐心']
217,1467791233622605824,卢先生,"[""Hadoop大数据开发工程师""]",0.0,25,"[""广东省"",""广州市"",""天河区""]",无经验,"全日制大学本科及以上学历
熟悉公司文档管理，熟练使用各种办公软件及设备
具有良好的沟通、协调能力，服务意识佳，有较强应变和学习能力
仪表端庄，形象气质佳，品行佳，言谈举止大方得体
每周保证4天以上，实习三个月以上",4000,8000,1,"[""互联网"",""不限""]","[""广东省"",""广州市"",""天河区""]",1个月后到岗,[],本科 ,信息与计算科学 ,3,0,"['全日制', '大学本科', '以上学历', '无', '熟悉', '公司', '文档', '管理', '熟练', '使用', '办公', '软件', '设备', '无', '具有', '良好', '沟通', '协调', '能力', '服务', '意识', '佳', '强', '应变', '学习', '能力', '无', '仪表', '端庄', '形象', '气质佳', '品行', '佳', '言谈举止', '大方', '得体', '无', '每周', '保证', '4', '天', '以上', '实习', '三个', '月', '以上']"
